waterpoint_id,latitude,longitude,waterpoint_image,functional_status,downtime_duration,abandon_reason,has_current_issue,current_issue,water_available_today,continuous_30days,no_water_30days_reason,repair_duration_days,seasonal_unavailable,seasonal_period,flow_test_possible,fill_time_20l,latrine_within_100m,observed_issues,water_quality_issues,preventive_maintenance,maintenance_barrier,user_population,universal_access,households_no_access,access_barrier,max_roundtrip_minutes,max_distance_metres,has_service_provider,provider_type,has_tariff,tariff_frequency,tariff_amount_mwk,tariff_cost_basis,has_financial_records,has_positive_balance,savings_or_loans,record_balance_mwk,has_bank_account,bank_balance_mwk,committee_year_formed,committee_member_count,committee_women_count,treasurer_gender,months_unavailable
243390968,-16.3103159,34.883555200000004,https://api.mwater.co/v3/images/a40d5baecd634858b974289d071f79e1,NA,NA,NA,NA,NA,NA,No,System is not functional,0,No,NA,NA,NA,Yes,Damage or problem with pump,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
13625083,-16.449545,34.864303299999996,https://api.mwater.co/v3/images/157b0a22c0294b9e97ded388a7b61333,Not functional,Less than 1 month,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc, Other",NA,Sometimes,NA,258,0,NA,NA,5,3,Yes,Water Point Committee,Yes,Per month,200,"Maintenance costs, Operation costs",No,NA,NA,NA,No,NA,2015,10,6,Female,0
12203015,-16.446415,34.8638667,https://api.mwater.co/v3/images/05c67273c9dd4b888692e5de0ecbcdc8,Not functional,2 - 5 years,NA,NA,NA,NA,NA,NA,NA,Yes,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",NA,NA,Yes,"Water quality, Other",Salinity / saltiness,No,"Lack of money, Lack of understanding/commitment to Preventative Maintenance",NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
443879359,-16.4462309,34.8700851,https://api.mwater.co/v3/images/4ebaf495a511409bbb608fd50c5bde5f,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,NA,NA,NA,No,Other,NA,NA,NA,250,NA,NA,NA,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12200706,-16.4465117,34.870455,https://api.mwater.co/v3/images/371f33d8782e4d53b468811615e32c5f,Functional,NA,NA,No,NA,Yes,No,Don't know,NA,No,NA,Yes,72.941,No,No problems,NA,Yes,NA,255,0,NA,NA,45,70,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420748175,-16.5226295,34.9784342,https://api.mwater.co/v3/images/2a5a386d88bb4d14b7e45d6b02afbb91,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,41.52,Yes,No problems,NA,Sometimes,NA,412,0,NA,NA,20,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420748182,-16.5251796,34.9808053,https://api.mwater.co/v3/images/240cbb4c0b4d4da59c1bd7029af6aeeb,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.921,No,No problems,NA,Sometimes,NA,456,0,NA,NA,10,30,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,11,6,Male,0
420748216,-16.5256581,34.98470009999999,https://api.mwater.co/v3/images/961cd3e6939f4f3d8947dd51c5f9ac09,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,No,NA,Yes,No problems,NA,Sometimes,NA,813,0,NA,NA,8,20,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243390982,-16.3121946,34.8873165,https://api.mwater.co/v3/images/fa0e1a8707df404fb0c456aa01a73c90,NA,NA,NA,NA,NA,NA,No,"System is not functional, Poor water quality",0,No,NA,NA,NA,Yes,"Damage or problem with pump, Water quality",Salinity / saltiness,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420748326,-16.5309534,34.9896886,https://api.mwater.co/v3/images/bae0d8e229f3416ba519cd02cbadd252,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,37.66,Yes,No problems,NA,No,Other,316,0,NA,NA,10,45,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,11,6,Male,0
